run,variacao,physics_step_ms_medio,physics_step_ms_max,fps_medio,amostras
1,1000,1.4155,4.4309,229.24,500
2,1000,1.4380,2.9750,232.83,500
3,1000,1.4390,2.4767,224.07,500
4,1000,1.4301,2.2953,231.31,500
5,1000,1.4264,2.4753,229.20,500
6,1000,1.4361,2.9825,230.57,500
7,1000,1.4556,2.6738,230.71,500
8,1000,1.4599,2.3016,230.21,500
9,1000,1.4370,2.5141,230.69,500
10,1000,1.4295,2.2935,230.51,500
1,5000,6.6925,12.4506,124.98,500
2,5000,6.9089,12.0348,122.99,500
3,5000,6.9032,11.9173,123.70,500
4,5000,6.9282,11.6628,123.82,500
5,5000,6.8906,11.8421,124.41,500
6,5000,6.9634,12.0526,123.38,500
7,5000,6.9289,11.8457,123.59,500
8,5000,6.9052,12.2083,122.92,500
9,5000,6.9260,12.0774,124.24,500
10,5000,6.9493,12.4576,122.27,500
1,10000,12.7651,25.4998,50.65,500
2,10000,13.2978,26.0990,47.32,500
3,10000,13.0260,26.4275,49.80,500
4,10000,13.1243,26.5626,49.21,500
5,10000,13.0095,26.3310,49.60,500
6,10000,13.4386,31.7686,35.97,500
7,10000,13.2182,26.1498,49.51,500
8,10000,13.1042,27.3234,48.26,500
9,10000,13.0758,26.2068,48.45,500
10,10000,13.1214,26.4674,47.93,500
