run,num_cubos,tempo_ate_sleep_s,timeout,phys_frames,max_v,t_primeiro_sleep,t_metade_sleep
1,10,35.6206,0,1781,0.515055,35.6206,35.6206
2,10,11.0601,0,553,0.503371,11.0601,11.0601
3,10,9.1200,0,456,0.515036,9.1200,9.1200
4,10,19.4803,0,974,0.514916,19.4803,19.4803
5,10,24.2604,0,1213,0.515061,24.2604,24.2604
6,10,25.3004,0,1265,0.515076,25.3004,25.3004
7,10,29.6005,0,1480,0.515029,29.6005,29.6005
8,10,60.0012,1,3000,0.514860,-1.0000,-1.0000
9,10,60.0012,1,3000,0.515059,-1.0000,-1.0000
10,10,26.1404,0,1307,0.515055,26.1404,26.1404
1,15,8.7000,0,435,16.728120,7.4000,7.9800
2,15,9.8600,0,493,16.693320,7.2200,7.7000
3,15,8.9800,0,449,16.485400,7.1200,8.0000
4,15,8.9000,0,445,16.620310,7.5600,7.9400
5,15,9.1000,0,455,16.533920,7.1200,8.2200
6,15,9.0800,0,454,16.640800,7.2400,8.0800
7,15,9.2200,0,461,17.895800,7.5400,7.7200
8,15,9.0800,0,454,20.456000,7.5400,8.2600
9,15,10.2600,0,513,17.306280,7.5000,8.2600
10,15,9.3600,0,468,16.516090,7.1200,8.1200
1,20,10.0200,0,501,19.351370,8.4600,8.9000
2,20,10.7201,0,536,21.871180,8.3000,9.3800
3,20,10.6801,0,534,23.353470,7.7000,8.8400
4,20,10.5601,0,528,23.369740,8.4600,9.3800
5,20,10.6601,0,533,21.856250,8.3200,9.1600
6,20,10.7401,0,537,19.368780,8.8600,9.3000
7,20,11.4601,0,573,19.458740,8.7000,9.5400
8,20,10.4001,0,520,23.578870,8.8400,9.3400
9,20,10.9201,0,546,21.304870,8.1000,9.0800
10,20,40.8807,0,2044,19.665840,8.9800,10.3801
