run,num_cubos,tempo_ate_sleep_s,timeout,phys_frames,max_v,t_primeiro_sleep,t_metade_sleep
1,10,21.1122,0,1055,0.557925,21.1122,21.1122
2,10,21.1003,0,1055,0.557925,21.1003,21.1003
3,10,21.1003,0,1055,0.557925,21.1003,21.1003
4,10,21.1003,0,1055,0.557925,21.1003,21.1003
5,10,21.1003,0,1055,0.557925,21.1003,21.1003
6,10,21.1003,0,1055,0.557925,21.1003,21.1003
7,10,21.1003,0,1055,0.557925,21.1003,21.1003
8,10,21.1003,0,1055,0.557925,21.1003,21.1003
9,10,21.1003,0,1055,0.557925,21.1003,21.1003
10,10,21.1003,0,1055,0.557925,21.1003,21.1003
1,15,28.1605,0,1408,19.479887,16.6202,17.2402
2,15,28.1605,0,1408,19.479887,16.6202,17.2402
3,15,28.1605,0,1408,19.479887,16.6202,17.2402
4,15,28.1605,0,1408,19.479887,16.6202,17.2402
5,15,28.1605,0,1408,19.479887,16.6202,17.2402
6,15,28.1605,0,1408,19.479887,16.6202,17.2402
7,15,28.1605,0,1408,19.479887,16.6202,17.2402
8,15,28.1605,0,1408,19.479887,16.6202,17.2402
9,15,28.1605,0,1408,19.479887,16.6202,17.2402
10,15,28.1605,0,1408,19.479887,16.6202,17.2402
1,20,8.2600,0,413,19.032700,6.1600,6.8200
2,20,8.2600,0,413,19.032700,6.1600,6.8200
3,20,8.2600,0,413,19.032700,6.1600,6.8200
4,20,8.2600,0,413,19.032700,6.1600,6.8200
5,20,8.2600,0,413,19.032700,6.1600,6.8200
6,20,8.2600,0,413,19.032700,6.1600,6.8200
7,20,8.2600,0,413,19.032700,6.1600,6.8200
8,20,8.2600,0,413,19.032700,6.1600,6.8200
9,20,8.2600,0,413,19.032700,6.1600,6.8200
10,20,8.2600,0,413,19.032700,6.1600,6.8200
