run,num_cubos,tempo_ate_sleep_s,timeout,phys_frames,max_v,t_primeiro_sleep,t_metade_sleep
1,10,14.4120,0,722,1.942454,14.4120,14.4120
2,10,2.1180,0,106,1.942454,2.1180,2.1180
3,10,24.4580,0,1223,1.942454,24.4580,24.4580
4,10,2.4980,0,125,1.942454,2.4980,2.4980
5,10,18.4380,0,922,1.942454,18.4380,18.4380
6,10,13.4380,0,672,1.942454,13.4380,13.4380
7,10,19.3980,0,970,1.942454,19.3980,19.3980
8,10,43.4980,0,2175,1.938048,43.4980,43.4980
9,10,6.2570,0,313,1.942454,6.2570,6.2570
10,10,16.5380,0,827,1.941836,16.5380,16.5380
