run,variacao,physics_step_ms_medio,physics_step_ms_max,fps_medio,amostras
1,1000,2.5523,3.0740,1482.88,500
2,1000,2.5558,3.0280,1565.18,500
3,1000,2.4685,3.0270,1567.84,501
4,1000,2.6554,4.3560,1558.27,501
5,1000,2.6190,4.5580,1564.29,500
6,1000,2.7667,4.6950,1563.42,501
7,1000,2.6520,4.6530,1559.22,500
8,1000,2.5147,2.9510,1556.63,501
9,1000,2.6429,4.3630,1548.26,500
10,1000,2.9429,5.0390,1546.72,500
1,5000,13.6498,23.9120,415.02,501
2,5000,13.8104,18.5360,346.66,501
3,5000,14.2247,19.3870,351.31,501
4,5000,13.3835,15.5010,361.14,501
5,5000,12.8702,16.4270,354.98,501
6,5000,13.0627,15.3870,358.30,501
7,5000,13.4004,15.7150,362.43,501
8,5000,13.1584,15.2520,367.65,501
9,5000,13.2741,14.9540,355.77,501
10,5000,15.1149,20.8530,319.66,500
1,10000,23.8410,32.0990,23.53,418
