run,variacao,physics_step_ms_medio,physics_step_ms_max,fps_medio,amostras
1,1000,2.5553,2.9720,1553.08,500
2,1000,3.2900,9.6870,1708.72,500
3,1000,2.6196,9.4240,1698.67,500
4,1000,2.8118,9.5570,1677.45,500
5,1000,2.9074,9.3380,1689.83,500
6,1000,3.0580,9.8150,1698.70,500
7,1000,3.1600,9.6380,1713.54,500
8,1000,3.2441,9.5930,1701.81,500
9,1000,2.7969,9.4450,1690.67,500
10,1000,2.8885,9.3610,1679.06,500
11,1000,2.8924,9.7940,1697.34,500
12,1000,3.1927,9.3200,1695.94,500
13,1000,3.2383,9.3950,1704.95,500
14,1000,3.2068,9.2460,1696.40,500
15,1000,2.8360,9.2610,1682.79,500
1,5000,12.9360,15.9350,460.25,500
2,5000,14.9923,48.3980,426.50,500
3,5000,16.2607,47.4750,429.04,500
4,5000,16.4422,46.7320,444.47,500
5,5000,16.6666,45.1200,446.32,500
6,5000,14.3248,45.8080,438.68,500
7,5000,14.4653,46.2520,414.80,500
8,5000,15.5914,45.3260,421.52,500
9,5000,15.7313,46.1090,420.12,500
10,5000,16.4903,46.6900,441.40,500
11,5000,13.4477,46.3590,438.51,500
12,5000,15.4200,44.4710,421.88,500
13,5000,14.4061,44.2080,406.93,500
14,5000,15.3770,45.0350,420.39,500
15,5000,15.6221,45.5630,437.35,500
1,10000,31.3876,46.5020,97.99,500
2,10000,31.4917,95.4230,25.71,500
3,10000,34.4252,96.9940,13.90,500
4,10000,29.7793,95.3950,10.30,500
5,10000,33.8263,98.3280,9.49,500
6,10000,35.3324,94.3460,10.18,500
7,10000,31.3954,94.9660,16.61,500
8,10000,34.3302,93.7850,12.26,500
9,10000,29.9158,93.8930,52.56,500
10,10000,32.0789,94.8270,9.99,500
11,10000,33.4319,90.2780,42.30,500
12,10000,36.2600,95.0510,16.83,500
13,10000,31.3050,86.6900,10.94,500
14,10000,34.6431,95.1850,9.94,500
15,10000,30.2687,87.1620,10.62,500
