run,num_cubos,tempo_ate_sleep_s,timeout,phys_frames,max_v,t_primeiro_sleep,t_metade_sleep
1,100,10.0490,0,504,36.298233,2.5090,6.8290
2,100,8.9770,0,449,35.611877,2.3580,6.7970
3,100,8.6370,0,432,36.616516,2.1970,6.7370
4,100,8.6770,0,434,36.429279,2.2770,6.6370
5,100,8.6960,0,435,35.931305,2.8960,7.0360
6,100,8.9170,0,446,35.539310,2.6960,6.7360
7,100,8.5770,0,429,36.326931,2.9370,6.9770
8,100,9.4170,0,471,35.677853,2.6170,7.3770
9,100,8.2170,0,411,35.466656,3.6770,6.2170
10,100,8.7170,0,436,35.583164,2.0170,7.2570
