run,num_cubos,tempo_ate_sleep_s,timeout,phys_frames,max_v,t_primeiro_sleep,t_metade_sleep
1,25,12.7520,0,639,19.888775,10.6320,11.2920
2,25,13.4390,0,672,21.274868,10.2990,11.7990
3,25,10.9380,0,547,20.959051,9.6980,10.1180
4,25,8.0780,0,404,19.732794,6.3390,7.0580
5,25,60.0010,1,3000,97.365005,8.1380,8.9580
6,25,8.2330,0,412,21.327656,5.2730,6.0330
7,25,11.0380,0,552,24.755629,8.6380,9.3380
8,25,9.1190,0,456,19.691431,7.4990,8.1990
9,25,16.7380,0,837,19.913862,8.1780,8.5780
10,25,13.8180,0,691,19.998413,9.8180,10.6580
