run,num_cubos,tempo_ate_sleep_s,timeout,phys_frames,max_v,t_primeiro_sleep,t_metade_sleep
1,10,0.4830,0,26,0.352141,0.4830,0.4830
2,10,11.1170,0,556,0.464956,11.1170,11.1170
3,10,0.5180,0,26,0.335786,0.5180,0.5180
4,10,0.5180,0,26,0.342873,0.5180,0.5180
5,10,0.5180,0,26,0.352052,0.5180,0.5180
6,10,11.1180,0,556,0.464956,11.1180,11.1180
7,10,0.5180,0,26,0.351589,0.5180,0.5180
8,10,0.5190,0,26,0.351141,0.5190,0.5190
9,10,0.5180,0,26,0.335196,0.5180,0.5180
10,10,0.5180,0,26,0.350849,0.5180,0.5180
1,15,12.3380,0,617,15.526283,8.9180,9.7580
2,15,8.6980,0,435,16.294188,6.9180,7.4380
3,15,10.2780,0,514,15.607756,8.0580,8.3180
4,15,13.2580,0,663,15.539456,10.9780,11.5180
5,15,14.1180,0,706,15.728886,11.8780,13.2380
6,15,9.7580,0,488,20.854584,7.2180,7.4980
7,15,14.2980,0,715,15.555049,12.4780,13.3980
8,15,11.6390,0,582,15.539017,10.8590,11.2590
9,15,11.0180,0,551,15.775992,10.1180,10.3180
10,15,12.1980,0,610,15.729108,11.2180,11.6780
1,20,11.4380,0,572,23.011078,9.5180,10.1980
2,20,8.9780,0,449,21.260126,7.5380,8.0180
3,20,11.7580,0,588,21.671320,9.5180,10.1580
4,20,8.9180,0,446,18.357058,7.6580,7.9580
5,20,8.6780,0,434,21.076326,7.3980,7.9580
6,20,10.2980,0,515,21.168808,8.3180,9.3180
7,20,10.9780,0,549,22.996775,8.5380,9.2580
8,20,10.6980,0,535,17.972481,8.6580,9.5180
9,20,10.2780,0,514,17.864769,8.5780,8.9780
10,20,9.5580,0,478,17.806803,7.6180,8.3180
