run,variacao,physics_step_ms_medio,physics_step_ms_max,fps_medio,amostras
1,1000,1.4997,4.1880,231.98,500
2,1000,1.5192,2.6228,233.52,500
3,1000,1.5023,2.4185,230.97,500
4,1000,1.5065,2.4840,232.83,500
5,1000,1.5196,2.3719,230.63,500
6,1000,1.5251,2.5753,234.20,500
7,1000,1.5230,2.4376,235.45,500
8,1000,1.5512,2.6026,232.69,500
9,1000,1.5234,2.5724,234.38,500
10,1000,1.5234,2.5409,233.62,500
11,1000,1.5345,2.6611,230.89,500
12,1000,1.5565,2.6478,231.94,500
13,1000,1.5157,2.4533,231.00,500
14,1000,1.5397,2.5492,232.64,500
15,1000,1.5308,2.5576,232.61,500
1,5000,6.9130,11.8795,122.72,500
2,5000,7.1690,11.6618,120.31,500
3,5000,7.0980,11.6129,122.39,500
4,5000,7.1103,12.0247,121.91,500
5,5000,7.0850,12.3339,121.72,500
6,5000,7.0974,12.4771,121.28,500
7,5000,7.1689,12.5143,120.89,500
8,5000,7.1838,12.0083,120.34,500
9,5000,7.1900,12.1073,120.79,500
10,5000,7.1735,12.1112,120.84,500
11,5000,7.1721,12.4493,120.23,500
12,5000,7.1849,12.2651,120.93,500
13,5000,7.1436,12.6099,121.71,500
14,5000,7.1528,11.7806,120.98,500
15,5000,7.1599,12.2949,120.66,500
1,10000,13.0911,27.3008,46.84,500
2,10000,13.3164,27.5926,46.90,500
3,10000,13.5775,28.2828,34.28,500
4,10000,13.3323,26.1244,45.79,500
5,10000,13.2479,26.3609,46.62,500
6,10000,13.2364,26.2701,46.24,500
7,10000,13.2232,26.6789,46.81,500
8,10000,13.2876,27.2273,45.95,500
9,10000,13.1979,27.5931,44.68,500
10,10000,13.3273,27.3181,44.36,500
11,10000,13.2398,26.6903,45.70,500
12,10000,13.4073,33.5582,45.69,500
13,10000,13.4713,26.9718,46.21,500
14,10000,13.4869,30.9581,46.86,500
15,10000,15.1638,32.4323,31.46,500
