run,num_cubos,tempo_ate_sleep_s,timeout,phys_frames,max_v,t_primeiro_sleep,t_metade_sleep
1,100,9.7800,0,489,40.226880,1.3800,7.4200
2,100,10.9201,0,546,39.925120,1.6600,7.1200
3,100,9.5600,0,478,40.052680,1.7400,7.0400
4,100,10.3001,0,515,39.989650,1.6600,6.8200
5,100,9.7800,0,489,40.921100,1.5800,6.8400
6,100,9.8800,0,494,40.722610,1.7400,7.7600
7,100,9.4800,0,474,40.858140,1.7200,7.3000
8,100,10.3201,0,516,40.846500,1.9400,7.1200
9,100,9.2800,0,464,40.350620,1.6400,6.6000
10,100,10.1200,0,506,40.226220,1.3800,7.1600
