run,num_cubos,tempo_ate_sleep_s,timeout,phys_frames,max_v,t_primeiro_sleep,t_metade_sleep
1,100,10.1000,0,505,36.339080,1.6600,8.8400
2,100,11.0601,0,553,36.958550,2.1400,7.4600
3,100,9.1000,0,455,37.616640,2.4000,7.6200
4,100,9.7000,0,485,38.183720,2.5800,7.8600
5,100,9.4800,0,474,37.358360,1.7000,8.3000
6,100,10.1600,0,508,38.029130,2.0800,8.0600
7,100,10.3801,0,519,37.604050,3.0400,7.7400
8,100,10.9201,0,546,37.431460,2.5400,7.6600
9,100,9.5000,0,475,37.856620,1.3000,7.3400
10,100,10.3201,0,516,38.129430,2.3800,8.6400
