run,num_cubos,tempo_ate_sleep_s,timeout,phys_frames,max_v,t_primeiro_sleep,t_metade_sleep
1,10,2.4400,0,122,0.284752,2.4400,2.4400
2,10,4.7400,0,237,0.280167,4.7400,4.7400
3,10,6.9600,0,348,0.285095,6.9600,6.9600
1,15,11.5401,0,577,0.436653,11.5401,11.5401
2,15,13.3801,0,669,0.441505,13.3801,13.3801
3,15,13.3401,0,667,0.441821,13.3401,13.3401
1,20,19.5403,0,977,26.080020,17.3602,18.0402
2,20,36.3006,0,1815,21.405850,33.9406,34.5606
3,20,22.9803,0,1149,23.866390,21.0603,21.8803
1,30,12.4201,0,621,27.960400,8.7200,10.0200
