run,num_cubos,tempo_ate_sleep_s,timeout,phys_frames,max_v,t_primeiro_sleep,t_metade_sleep
1,10,35.6206,0,1781,0.515055,35.6206,35.6206
2,10,11.0601,0,553,0.503371,11.0601,11.0601
3,10,9.1200,0,456,0.515036,9.1200,9.1200
1,15,8.8400,0,442,16.568230,7.4800,8.0400
2,15,10.1800,0,509,16.683620,7.4800,8.1600
3,15,8.6400,0,432,16.553370,7.4600,7.9400
1,20,10.9801,0,549,19.175430,9.0000,9.7800
2,20,11.3601,0,568,21.683560,8.4200,9.5400
3,20,10.9801,0,549,22.030470,8.4600,9.2800
1,25,8.6800,0,434,21.169730,6.0800,6.9800
2,25,8.1000,0,405,21.234580,5.9800,7.0400
3,25,9.5600,0,478,23.779270,7.2800,8.6400
1,30,9.0000,0,450,21.916530,4.6000,7.0000
2,30,8.8000,0,440,27.004610,5.7600,7.0000
3,30,8.0400,0,402,22.433860,5.8000,7.0200
1,35,8.7600,0,438,19.450640,2.9800,6.0000
2,35,8.3200,0,416,19.908650,3.8200,6.5200
3,35,8.1200,0,406,18.824720,1.8000,5.9600
