run,variacao,physics_step_ms_medio,physics_step_ms_max,fps_medio,amostras
1,1000,9.9940,14.2567,49.99,500
2,1000,10.1451,14.9800,50.01,500
3,1000,10.2895,13.5371,50.01,500
4,1000,10.3475,14.4517,50.02,500
5,1000,10.3133,14.5227,50.01,500
6,1000,10.4389,15.8899,50.01,500
7,1000,10.4837,14.2089,50.01,500
8,1000,10.4802,14.7908,50.01,500
9,1000,10.4358,15.3657,50.01,500
10,1000,10.4492,14.3008,50.02,500
11,1000,10.3821,14.3424,50.02,500
12,1000,10.3168,15.6803,49.98,500
13,1000,10.3109,15.5070,50.01,500
14,1000,10.4339,14.6094,50.01,500
15,1000,10.4615,16.0914,50.01,500
1,5000,64.1030,79.6204,14.61,500
2,5000,68.8094,87.3285,13.63,500
3,5000,70.2689,96.0750,13.33,500
4,5000,66.2204,92.3910,14.18,500
5,5000,67.3204,84.9311,13.89,500
6,5000,66.2062,83.2704,14.14,500
7,5000,64.3720,87.7368,14.60,500
8,5000,64.5163,85.4439,14.56,500
9,5000,65.7504,81.3814,14.21,500
10,5000,66.5697,82.7254,14.05,500
11,5000,71.0346,86.1025,13.26,500
12,5000,69.3316,83.8244,13.51,500
13,5000,69.9576,93.1558,13.50,500
14,5000,71.4478,89.7298,13.18,500
15,5000,66.4439,86.2045,14.06,500
1,10000,146.4986,179.7547,6.72,500
2,10000,144.6352,183.8063,6.83,500
3,10000,149.6139,184.8456,6.59,500
4,10000,166.8385,209.0233,5.88,500
5,10000,162.5083,202.0153,6.03,500
6,10000,159.4395,200.6338,6.15,500
7,10000,148.6912,190.8066,6.60,500
8,10000,148.2668,188.7954,6.63,500
9,10000,145.1476,185.7140,6.79,500
10,10000,150.4286,187.7264,6.54,500
11,10000,166.3095,202.4063,5.87,500
12,10000,143.7227,179.1288,6.85,500
13,10000,143.8678,179.9188,6.85,500
14,10000,145.2128,187.9595,6.78,500
15,10000,145.9600,184.3567,6.75,500
