run,variacao,physics_step_ms_medio,physics_step_ms_max,fps_medio,amostras
1,1000,10.3233,15.4160,49.98,500
2,1000,10.2709,13.5931,50.01,500
3,1000,10.2962,14.5354,50.01,500
4,1000,10.2001,13.6271,50.01,500
5,1000,10.3129,14.1780,50.01,500
6,1000,10.2991,13.9117,49.98,500
7,1000,10.4250,13.8659,50.01,500
8,1000,10.5102,13.9300,50.01,500
9,1000,10.5979,14.3556,50.01,500
10,1000,10.5321,14.5026,50.01,500
1,5000,73.6230,102.2153,13.10,500
2,5000,75.1848,89.8207,12.81,500
3,5000,75.3566,92.2203,12.74,500
4,5000,74.0738,88.6584,12.99,500
5,5000,73.3501,91.0133,13.18,500
6,5000,73.2314,89.8866,13.19,500
7,5000,73.6289,88.3540,13.12,500
8,5000,72.9142,93.6840,13.22,500
9,5000,74.4519,92.0296,12.91,500
10,5000,74.4071,90.6121,12.90,500
1,10000,164.8457,208.0715,6.19,500
2,10000,164.1155,203.2312,6.21,500
3,10000,178.1555,217.2531,5.68,500
4,10000,189.6976,228.2127,5.27,500
5,10000,176.3100,216.6667,5.73,500
6,10000,170.8569,208.3810,5.92,500
7,10000,170.7773,215.7798,5.94,500
8,10000,175.9426,214.1270,5.75,500
9,10000,163.8849,212.9948,6.22,500
10,10000,170.9245,224.5218,5.94,500
