run,num_cubos,tempo_ate_sleep_s,timeout,phys_frames,max_v,t_primeiro_sleep,t_metade_sleep
1,100,9.6967,0,485,43.261436,5.7367,8.1367
2,100,11.3001,0,565,43.509525,5.3200,7.9200
3,100,11.3001,0,565,43.509525,5.3200,7.9200
4,100,11.3001,0,565,43.509525,5.3200,7.9200
5,100,11.3001,0,565,43.509525,5.3200,7.9200
6,100,11.3001,0,565,43.509525,5.3200,7.9200
7,100,11.3001,0,565,43.509525,5.3200,7.9200
8,100,11.3001,0,565,43.509525,5.3200,7.9200
9,100,11.3001,0,565,43.509525,5.3200,7.9200
10,100,11.3001,0,565,43.509525,5.3200,7.9200
11,100,11.3001,0,565,43.509525,5.3200,7.9200
12,100,11.3001,0,565,43.509525,5.3200,7.9200
13,100,11.3001,0,565,43.509525,5.3200,7.9200
14,100,11.3001,0,565,43.509525,5.3200,7.9200
15,100,11.3001,0,565,43.509525,5.3200,7.9200
